"Data Category Allowance from 2021-02-01 until 2021-03-01"
Name,Ammount,Category,Type,Date
"Uang Jajan ",1000,Allowance,Income,2021-02-24
"Uang Jajan ",10000,Allowance,Income,2021-02-24
"Beli Roti",500,Allowance,Income,2021-02-24
"Uang Jajan",6450,Allowance,Income,2021-02-11
"Uang Jajan",111,Allowance,Income,2021-02-24
"Uang Jajan",5345,Allowance,Income,2021-02-24
"Uang Jajan",567,Allowance,Income,2021-02-24
"Uang Jajan",1237,Allowance,Income,2021-02-26
"Uang Jajan",12345,Allowance,Income,2021-02-26
"Uang Bulanan",12300,Allowance,Income,2021-02-27
